관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자,제공기관코드,제공기관명,
29170-00018,버들어린이공원,어린이공원,광주광역시 북구 대자로106번길 12,광주광역시 북구 운암동 449-3,35.1724838,126.8837449,3515.4,,,,,,1970-06-05,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00019,지우어린이공원,어린이공원,광주광역시 북구 북문대로20번길 23,광주광역시 북구 운암동 478-1,35.1753429,126.8837057,3860.5,,,,,,1970-06-05,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00020,신용제1어린이공원,어린이공원,광주광역시 북구 용봉로 12,광주광역시 북구 신안동 471-1,35.1716172,126.8982976,3817.5,,,,,,1970-06-05,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00021,효동어린이공원,어린이공원,광주광역시 북구 우치로1번길 10,광주광역시 북구 중흥동 347-1,35.1682873,126.9092391,4205,,,,,,1970-06-05,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00022,효죽어린이공원,어린이공원,광주광역시 북구 용봉로138번길 22-6,광주광역시 북구 중흥동 336-3,35.1725538,126.9109512,3529.3,,,,,,1970-06-05,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00023,용흥어린이공원,어린이공원,광주광역시 북구 우치로100번길 26,광주광역시 북구 용봉동 158-6,35.1763308,126.9139155,2330,,,,,,1977-06-11,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00024,꿈동산어린이공원,어린이공원,광주광역시 북구 군왕로171번길 10-7,광주광역시 북구 두암동 588-5,35.1771361,126.9331745,2205.9,,,,,,1977-12-30,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00025,무등어린이공원,어린이공원,광주광역시 북구 두암동 595-5,광주광역시 북구 두암동 595-5,35.1773615,126.9365556,1747.8,,,,,,1977-12-30,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00026,희망어린이공원,어린이공원,광주광역시 북구 두암동 564-1,광주광역시 북구 두암동 564-1,35.1795632,126.9279029,2578.5,,,,,,1977-12-30,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00027,우리어린이공원,어린이공원,광주광역시 북구 중문로84번길 5,광주광역시 북구 우산동 602-1,35.1802224,126.9212187,1873.1,,,,,,1984-09-25,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00028,하백어린이공원,어린이공원,광주광역시 북구 매곡동 83-3,광주광역시 북구 매곡동 83-3,35.1912495,126.8909254,1666,,,,,,1986-06-04,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00029,무진어린이공원,어린이공원,광주광역시 북구 삼정로95번길 27,광주광역시 북구 두암동 950,35.1705937,126.9358188,1500,,,,,,1987-11-11,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00030,부영어린이공원,어린이공원,광주광역시 북구 삼정로 71-1,광주광역시 북구 두암동 952,35.1685849,126.9357164,3414,,,,,,1987-11-11,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00031,초롱어린이공원,어린이공원,광주광역시 북구 삼정로82번길 13-4,광주광역시 북구 두암동 951,35.1694497,126.9383265,1674,,,,,,1987-11-11,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00032,평교어린이공원,어린이공원,광주광역시 북구 평교로 23,광주광역시 북구 문흥동 925-6,35.1793627,126.9247938,1538.5,,,,,,1987-11-11,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00033,그린어린이공원,어린이공원,광주광역시 북구 서방로81번길 88,광주광역시 북구 우산동 203-1,35.1743275,126.9245834,2326.2,,,,,,1987-12-15,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00034,둘리어린이공원,어린이공원,광주광역시 북구 서방로181번길 43,광주광역시 북구 두암동 854-8,35.1708251,126.9313478,2349.5,,,,,,1987-12-15,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00035,새싹어린이공원,어린이공원,광주광역시 북구 면앙로192번길 22,광주광역시 북구 두암동 829-8,35.1741719,126.9320593,2333.6,,,,,,1987-12-15,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00036,어울림어린이공원,어린이공원,광주광역시 북구 서방로148번길 18,광주광역시 북구 두암동 890-4,35.1688205,126.927779,2296.2,,,,,,1987-12-15,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00037,반룡어린이공원,어린이공원,광주광역시 북구 용봉동 1227-8,광주광역시 북구 용봉동 1227-8,35.1799986,126.9026336,1783,,,,,,1989-12-14,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00038,봉곡어린이공원,어린이공원,광주광역시 북구 반룡로17번길 15,광주광역시 북구 용봉동 1232-6,35.179946,126.9000072,1905.1,,,,,,1989-12-14,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00039,새봄어린이공원,어린이공원,광주광역시 북구 용봉동 1250-6,광주광역시 북구 용봉동 1250-6,35.1778426,126.9005515,1801.5,,,,,,1989-12-14,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00040,용주어린이공원,어린이공원,광주광역시 북구 용봉동 1214,광주광역시 북구 용봉동 1214,35.1821276,126.9041179,1851,,,,,,1989-12-14,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00041,고운어린이공원,어린이공원,광주광역시 북구 서하로274번길 16,광주광역시 북구 오치동 981-6,35.1861634,126.910142,2500.8,,,,,,1989-12-14,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00042,박들어린이공원,어린이공원,광주광역시 북구 오치동 913-19,광주광역시 북구 오치동 913-19,35.1911912,126.9033484,1803.5,,,,,,1989-12-14,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00043,상오치어린이공원,어린이공원,광주광역시 북구 오치동 934-1,광주광역시 북구 오치동 934-1,35.1884085,126.9104151,1500.9,,,,,,1989-12-14,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00044,하오치어린이공원,어린이공원,광주광역시 북구 우치로228번길 32,광주광역시 북구 오치동 990-1,35.1857983,126.9073362,3600.8,,,,,,1989-12-14,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00045,샛터어린이공원,어린이공원,광주광역시 북구 오치동 927-1,광주광역시 북구 오치동 927-1,35.1895154,126.9077179,1500.1,,,,,,1989-12-14,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00046,차돌(독)어린이공원,어린이공원,광주광역시 북구 우치로275번길 29,광주광역시 북구 오치동 946-9,35.1890795,126.9039697,1506.8,,,,,,1989-12-14,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00047,군황어린이공원,어린이공원,광주광역시 북구 무진성길 58,광주광역시 북구 두암동 975-6,35.1620517,126.9397288,1544.7,,,,,,1990-12-12,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00048,송학어린이공원,어린이공원,광주광역시 북구 삼정로 7,광주광역시 북구 두암동 968-5,35.1644242,126.935629,2509.8,,,,,,1990-12-12,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00049,개나리어린이공원,어린이공원,광주광역시 북구 문화소통로 214,광주광역시 북구 문흥동 787-7,35.1806318,126.9169975,1520.7,,,,,,1991-06-19,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00050,사랑어린이공원,어린이공원,광주광역시 북구 중문로 55,광주광역시 북구 우산동 633-2,35.1784162,126.9183092,1701,,,,,,1991-06-19,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00051,용봉어린이공원,어린이공원,광주광역시 북구 문화소통로 186,광주광역시 북구 용봉동 1270,35.1823243,126.9142522,1794.2,,,,,,1991-06-19,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00052,충효어린이공원,어린이공원,광주광역시 북구 서방로39번길 68,광주광역시 북구 우산동 633-5,35.1760798,126.9187112,4104.1,,,,,,1991-06-19,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00053,현대어린이공원,어린이공원,광주광역시 북구 중문로83번길 7-10,광주광역시 북구 우산동 631-2,35.179792,126.919952,1500.4,,,,,,1991-06-19,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00054,삼정어린이공원,어린이공원,광주광역시 북구 삼정로 64,광주광역시 북구 두암동 969-10,35.1677221,126.9377518,2410.1,,,,,,1991-10-24,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00055,장수어린이공원,어린이공원,광주광역시 북구 갈마로 73,광주광역시 북구 두암동 969-9,35.1619848,126.9384751,1650,,,,,,1991-10-24,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00056,느티나무어린이공원,어린이공원,광주광역시 북구 서하로 407,광주광역시 북구 문흥동 995-4,35.1842518,126.9242891,2356.1,,,,,,1991-12-31,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00057,늘푸른어린이공원,어린이공원,광주광역시 북구 부남길26번길 20,광주광역시 북구 문흥동 985-2,35.1877446,126.927436,2345.3,,,,,,1991-12-31,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00058,동심어린이공원,어린이공원,광주광역시 북구 문산로 43-8,광주광역시 북구 문흥동 996-4,35.1863179,126.922582,2582.7,,,,,,1991-12-31,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00059,문산어린이공원,어린이공원,광주광역시 북구 부남길8번길 10,광주광역시 북구 문흥동 993-1,35.1864689,126.9261857,1500.2,,,,,,1991-12-31,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00060,바느실어린이공원,어린이공원,광주광역시 북구 대천로 186,광주광역시 북구 문흥동 972-2,35.1899895,126.9239214,2571.1,,,,,,1991-12-31,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00062,소망어린이공원,어린이공원,광주광역시 북구 문산로 27-7,광주광역시 북구 문흥동 1010-3,35.1846753,126.9214515,2551.4,,,,,,1991-12-31,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00063,송정어린이공원,어린이공원,광주광역시 북구 대천로157번길 73,광주광역시 북구 문흥동 970-1,35.1907695,126.9213228,3011,,,,,,1991-12-31,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00064,오정어린이공원,어린이공원,광주광역시 북구 송월로40번길 23,광주광역시 북구 오치동 1018-2,35.1875112,126.914786,2039.1,,,,,,1991-12-31,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00065,장미어린이공원,어린이공원,광주광역시 북구 대천로 119-1,광주광역시 북구 문흥동 1004-7,35.1857752,126.919437,1701.7,,,,,,1991-12-31,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00066,진달래어린이공원,어린이공원,광주광역시 북구 서하로355번길 12,광주광역시 북구 문흥동 955-1,35.1870568,126.9201194,1593.9,,,,,,1991-12-31,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00067,철쭉어린이공원,어린이공원,광주광역시 북구 문산로 4,광주광역시 북구 문흥동 1011-6,35.182419,126.9211151,1606,,,,,,1991-12-31,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00068,동산어린이공원,어린이공원,광주광역시 북구 북문대로242번길 11,광주광역시 북구 동림동 1147-3,35.1888034,126.8646018,1508.2,,,,,,1994-11-24,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00069,산동어린이공원,어린이공원,광주광역시 북구 동림동 1146-2,광주광역시 북구 동림동 1146-2,35.1917183,126.865936,1509,,,,,,1994-11-24,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00070,푸른어린이공원,어린이공원,광주광역시 북구 동림용산로 30,광주광역시 북구 동림동 1158-1,35.1881569,126.8674754,4331.5,,,,,,1994-11-24,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00071,한마음어린이공원,어린이공원,광주광역시 북구 동림용산로 12,광주광역시 북구 동림동 1161-2,35.1882678,126.8695052,1500.5,,,,,,1994-11-24,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00072,가작어린이공원,어린이공원,광주광역시 북구 설죽로 439,광주광역시 북구 삼각동 792-1,35.1986277,126.8994863,4159.1,,,,,,1995-06-16,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00073,당산어린이공원,어린이공원,광주광역시 북구 일곡동 818-2,광주광역시 북구 일곡동 818-2,35.2098103,126.8992014,2479.1,,,,,,1995-06-16,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00074,들샘어린이공원,어린이공원,광주광역시 북구 일곡마을로 38,광주광역시 북구 일곡동 849-7,35.2059169,126.8968829,6301.2,,,,,,1995-06-16,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00075,비둘기어린이공원,어린이공원,광주광역시 북구 삼각동 777-2,광주광역시 북구 삼각동 777-2,35.2009824,126.8973384,3244.9,,,,,,1995-06-16,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00076,삼각어린이공원,어린이공원,광주광역시 북구 삼각동 809-9,광주광역시 북구 삼각동 809-9,35.2007347,126.9013236,2167.6,,,,,,1995-06-16,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00077,서일어린이공원,어린이공원,광주광역시 북구 일곡동 816-2,광주광역시 북구 일곡동 816-2,35.2127526,126.9005148,4237.4,,,,,,1995-06-16,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00078,소소리어린이공원,어린이공원,광주광역시 북구 일곡동 857-1,광주광역시 북구 일곡동 857-1,35.2108625,126.8919265,2211.7,,,,,,1995-06-16,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00079,용수어린이공원,어린이공원,광주광역시 북구 삼각동 770-2,광주광역시 북구 삼각동 770-2,35.2001125,126.895457,2744.8,,,,,,1995-06-16,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00080,월산어린이공원,어린이공원,광주광역시 북구 일곡동 825-1,광주광역시 북구 일곡동 825-1,35.2053797,126.8995643,2049.7,,,,,,1995-06-16,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00081,일곡어린이공원,어린이공원,광주광역시 북구 일곡로41번길 16,광주광역시 북구 일곡동 917-1,35.2085741,126.8928274,1599.6,,,,,,1995-06-16,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00082,일동어린이공원,어린이공원,광주광역시 북구 일곡동 902-1,광주광역시 북구 일곡동 902-1,35.2067522,126.8914299,2316.2,,,,,,1995-06-16,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00083,한새어린이공원,어린이공원,광주광역시 북구 일곡동 814-2,광주광역시 북구 일곡동 814-2,35.2129687,126.8971236,4468.5,,,,,,1995-06-16,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00084,신안북어린이공원,어린이공원,광주광역시 북구 중흥로118번길 12,광주광역시 북구 신안동 1407-5,35.1678705,126.8997494,1766.5,,,,,,1995-11-24,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00085,용봉동어린이공원,어린이공원,광주광역시 북구 용봉동 1417-1,광주광역시 북구 용봉동 1417-1,35.1832391,126.9026351,1839.2,,,,,,1995-11-24,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00086,용봉동부어린이공원,어린이공원,광주광역시 북구 용봉동 1368-1,광주광역시 북구 용봉동 1368-1,35.1801464,126.8969721,2764.5,,,,,,1995-11-24,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00087,용봉북어린이공원,어린이공원,광주광역시 북구 문화소통로 22,광주광역시 북구 용봉동 1335-1,35.1836928,126.896518,2640,,,,,,1995-11-24,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00088,용봉서부어린이공원,어린이공원,광주광역시 북구 용봉동 1392-1,광주광역시 북구 용봉동 1392-1,35.1774602,126.8926149,1621.2,,,,,,1995-11-24,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00061,백일홍어린이공원,어린이공원,광주광역시 북구 천지인로 241,광주광역시 북구 문흥동 1011-4,35.1828004,126.9249758,2280.1,,,,,,1991-12-31,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00089,용봉중앙어린이공원,어린이공원,광주광역시 북구 용봉동 1363-1,광주광역시 북구 용봉동 1363-1,35.1797992,126.8937886,3396.7,,,,,,1995-11-24,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00090,양산 제1어린이공원,어린이공원,광주광역시 북구 본촌동 2849,광주광역시 북구 본촌동 2849,35.217929,126.8797516,6671.4,,,,,,2001-09-14,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00091,양산 제2어린이공원,어린이공원,광주광역시 북구 본촌동 3076,광주광역시 북구 본촌동 3076,35.2151682,126.8840511,2171.4,,,,,,2001-09-14,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00092,양산 제3어린이공원,어린이공원,광주광역시 북구 본촌동 2990,광주광역시 북구 본촌동 2990,35.2123168,126.8803582,1500,,,,,,2001-09-14,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00093,양산 제4어린이공원,어린이공원,광주광역시 북구 양산동 3080,광주광역시 북구 양산동 3080,35.2019384,126.8760848,3844.6,,,,,,2001-09-14,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00094,양산 제5어린이공원,어린이공원,광주광역시 북구 양산동 764,광주광역시 북구 양산동 764,35.2107348,126.8822436,2828,,,,,,2001-09-14,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00095,양산 제6어린이공원,어린이공원,광주광역시 북구 양산동 837,광주광역시 북구 양산동 837,35.2094969,126.8767582,1611.4,,,,,,2001-09-14,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00096,양산 제7어린이공원,어린이공원,광주광역시 북구 양산동 1006,광주광역시 북구 양산동 1006,35.2074071,126.8783718,2388.7,,,,,,2001-09-14,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00097,양산 제8어린이공원,어린이공원,광주광역시 북구 양산동 1090,광주광역시 북구 양산동 1090,35.2057965,126.8745952,2061.9,,,,,,2001-09-14,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00098,신평어린이공원,어린이공원,광주광역시 북구 용두동 311-36,광주광역시 북구 용두동 311-36,35.2106034,126.8713823,2482,,,,,,2007-11-15,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00099,첨단2주거 1호어린이공원,어린이공원,광주광역시 북구 신용동 658,광주광역시 북구 신용동 658,35.2106345,126.8582945,3224.1,,,,,,2006-12-05,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00100,첨단2주거 2호어린이공원,어린이공원,광주광역시 북구 신용동 670,광주광역시 북구 신용동 670,35.2125496,126.8619682,2633.7,,,,,,2006-12-05,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00101,첨단2주거 3호어린이공원,어린이공원,광주광역시 북구 신용동 740,광주광역시 북구 신용동 740,35.2106528,126.8648313,3711.9,,,,,,2006-12-05,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00102,첨단2산업체육공원,체육공원,광주광역시 북구 첨단연신로29번길 23,광주광역시 북구 연제동 1059,35.1994359,126.8612305,21176.2,,,,,,2006-12-05,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00103,천변공원,수변공원,광주광역시 북구 임동 226-9,광주광역시 북구 임동 226-9,35.1604756,126.8944059,424420,,,,,,1975-02-18,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00104,일곡근린공원,근린공원,광주광역시 북구 일곡동 140,광주광역시 북구 일곡동 140,35.2118651,126.8959124,1066166,,,,,,1985-11-12,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00105,양지소공원,소공원,광주광역시 북구 산 180-10,광주광역시 북구 산 180-10,35.2047155,126.8815694,686.4,,,,,,2004-10-22,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00106,유림소공원,소공원,광주광역시 북구 동림동 1328,광주광역시 북구 동림동 1328,35.174093,126.865337,521,,,,,,2009-05-15,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00107,풍향골어린이공원,어린이공원,광주광역시 북구 풍향동 810,광주광역시 북구 풍향동 810,35.163062,126.928655,4345.8,,,,,,2009-12-15,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00108,신평소공원,소공원,광주광역시 북구 용두동 311-80,광주광역시 북구 용두동 311-80,35.210744,126.871291,450,,,,,,2015-12-01,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
31140-00001,울산대공원,근린공원,울산광역시 남구 옥동 대공원로 94,울산광역시 남구 옥동 산256번지 일원,35.531038,129.293804,3694058,"옥외수영장,실내수영장,운동시설장소,다목적운동장,길거리농구장,풋살경기장,미니골프장,궁 도 장,양 궁 장","산림놀이시설,잉어물놀이공간,어린이놀이터,고래뼈놀이,뜀 동 산,학 습 놀 이,무지개그물놀이","주차장,매표소1,매표소2,매표소/관리소,매점/매표소,정문편의시설동,동문편의시설동,매표소/식당/편의시설동,옥외화장실,쉘 터,공원조성기념탑,풍 차,매 점","충 혼 탑,옥외공연장,근로청소년회관,마 당,시립박물관,문화회관,이벤트마당,나비식물원,숲속의공작실,곤충생태관,기념광장,방목장,야생동물구조전시관,대공원동물원,환경홍보관  및에너지관,사계절꽃밭,교통안전공원,청소년광장,울산대종,통일염원탑,종합전시관","관리사동,창 고,배수지,오수가압장,관리사무소,(안전공원),축 사",1986-09-19,울산시설공단,052-226-8818,2018-08-17,B553560,울산시설공단,
